отзывы,разметка
"Оболочка после чистого андроида тоже очень некомфортная, но это дело вкуса и привычки.",0
"Нормальный телефон, очень красивая задняя панель",1
Деньги на ветер .,0
ну так себе,0
"Ценник вполне адекватный для такой мощной новинки, неубиваемое стекло (случайно проверил).",1
"Это просто находка для любителей фотографии! Камера снимает на профессиональном уровне, а результаты вызывают восторг. Здесь и разные режимы и настройки и другие фишки. В этом телефоне настоящая профессиональная камера. Аккумулятор долго держит заряд, что обеспечивает целые сутки полной автономности.",1
"Брал из любопытства. Ну, норм, но не вау",0
"С тех пор как перешёл с аналога на Rapid Quantum Calculations, ну мне всё понравилось, кроме батареи.",1
"На громкой связи с первого звонка в динамике слышны шумы, звук приглушается, и почти не слышно.",0
"После QPhone Pro MAX отлично лежит в руке, брал на замену, хороший телефон",1
Круто,1
"Взял смартфон, на следующий день буду возвращать, характеристикам не соответствует, тормозит, греется быстро разряжается камера явно завышена, 50мп точно нет",0
"На удивление, оказался достаточно прочным. Мне казалась, что вся эта сложная конструкция быстро развалится от любого удара",1
"Классный большой экран, удобно сидит в руке хоть и огромный. Это мой первый Rapid Quantum Calculations серьезный, в сравнении с другими производителями пока просто летает, очень быстрый",1
не очень быстрый,0
"Пользуюсь телефонами Rapid Quantum Calculations уже 10 лет. Всегда всё устраивало. Цена, конечно, высоковата, но оно того стоит",1
"При звонках часто пропадает связь, сегодня вообще перестал ловить интернет и мобильный и вай фай, хотя у других ловит... Т.е. дело именно в телефоне... Все тормозит... И как вернуть его неизвестно ...Очень сожалею что выбрала эту марку",0
"Обновления приходят редко, уже хочется новенького.",0
тормозит как моя пробабушка,0
"Использовала его примерно год. Реклама и постоянные уведомления - это просто кошмар. Через неделю после использования звук у динамика стал настолько глухим, что я практически не слышала собеседника. Периодически сам перезагружается.",0
"Покупал под одно приложение для работы , не справился ни с чем",0
"После Айфона достаточно легко в нем, меню настроила под себя, в руке удобно лежит",1
"За меньше чем неделю использования телефон начал вести себя не очень, а именно быстро разряжается, пару раз уходил в перезагрузку без моей команды, и в целом работал мягко говоря так себе. На данный момент отдал в сервис интересно, что будет дальше.",0
Телефон лагает. Экран блокировки не разблокировать. Только нужно полностью перезагрузить телефон. Хочу вернуть товар ,0
"не верю, это всё обман",0
"Не переходите с Rapid Quantum Calculations на вот это вот, пожалеете. Это шаг в каменный век.",0
"Купил телефон две недели назад, все работает отлично! Продавцы в магазине все подсказали и объяснили ! Спасибо !!!",1
"К покупке однозначно советую, памяти хватает, шустрый, не виснет, я доволен",1
"сгорел пиксель на экране, через месяц",0
телефон внешне очень красивый,1
Позор какой-то честно говоря. Придется продавать.,0
"сильно желтит экран, сам по себе телефон с лёгким притормаживанием",0
"Хороший телефон. Многого не ждал, но все что нужно - есть. Мой старый уже не справлялся с потоком звонков и сообщений. Память забита, все лагало. А тут красота! Памяти вагон. Процессор шустрый. А экран и формфактор один в один.",1
динамик немного барахлит и живёт своей жизнью,0
Я офигел вообще,1
"Отличный смартфон, экран бомба",1
через неделю начал лагать,0
Пока недостатков не вижу. Просто крутой смарт с кучей фирменных фишек.,1
"Достоинств много, я даже не буду перечислять",1
"C первых же дней стал глючить, батарею держит плохо, авторегулировка яркости не работает",0
"самое большое разочарование,это батарея,ну очень слабая, может мне такая попалась",0
Греется во время игр,0
"Очень довольна покупкой, отличный телефон, красивый и шустрый",1
"отличный телефон,всё работает быстро",1
"уронил его с высоты второго этажа, упал плашмя экраном об бетон, сижу думаю ну всё конец, и представте моё удивление когда я спустился и на нём не трещин на стекле, ни на корпусе, да же царапин нет, крепкий телефон ничего не скажешь",1
нет быстрой зарядки. лагает даже на рабочем столе. большие рамки.,0
Как кирпич пойдёт. Как хорошая удобная машинка в программном плане - нет.,0
Отличный смартфон для повседневной жизни,1
"Виснет,им только орехи колоть",0
"Брак дисплея, из коробки",0
"Спустя 3 месяца использования могу сказать, что это худший телефон, который у меня был. За свои деньги ужасно. Возможно за более скромную сумму было бы и не плохо.",0
Супер,1
Спустя 6 месяцев у меня выгорел экран.,0
Выбросил деньги на ветер!,0
"Шустрый, без косяков, все как заявлено продавцом",1
"громкость отличная, фото получаются тоже хорошие",1
"настраивается быстро, почти всё автоматически. мне очень понравился. быстрая зарядка. пришёл в целости и сохранности",1
"Отличный среднебюджетный смартфон, для всех бытовых нужд очень хорош",1
Очень достойный телефон,1
Пользуюсь больше года и никаких проблем не испытываю.,1
"Слабо ловит сигнал вай-вай, буквально на 8-10 метров максимум, дальше 5 метров - уже лагает. Приложения просто сворачиваются и работают в фоновом режиме, что очень раздражает и разряжают сильно батарею, закрыть можно только через очистку или диспетчер задач.",0
"Даже не верится, что такое существует. Взял телефон, как только он поступил в продажу",1
"Очень разочарована, покупала маме в подарок. Радость была до тех пор, пока все не подключили. Не работает динамик внешний",0
"Цвета яркие и насыщенные, фотографии очень высокого качества, сам телефон выглядит приятно",1
Я ФАНАТ Rapid Quantum Calculations!! ЛЮБЛЮ ВСЁ ЧТО ОНИ ДЕЛАЮТ,1
"Хороший телефон, даже очень. Мне понравилось, что у него крупный экран, но и в моей не очень большой руке он не кажется слишком громоздким. К тому же, аппарат лежит в руке хорошо и не выскальзывает. Я использую для соцсетей, просмотра фильмов и сериалов, ну и для звонков.",1
"Купили на день рождения ребёнку. Остался доволен. Единственный минус, нет блока зарядки",1
"хорошая и быстрая зарядка, классная камера",1
"Очень доволен телефоном, но телефон не для всех и не всем по карману.",1
неделю поработал нормально и стал глючить,0
"телефону нет и двух месяцев, а он ужасно тормозит, зависает и просит отказываться работать, так ещё и разряжается за 5 часов",0
Качество фото довольно посредственное,0
"Первое что меня привлекло в данной модели цвет корпуса, это мой любимый оттенок зеленого. А характеристики смартфона только дополнили мою любовь к нему. удивило что 10 минут зарядки хватает на дополнительные 3-4 часа, классная камера, очень сочные фото получаются, удобно держать в руках",1
"звучит как очередной обман, брать не буду",0
"Покупкой довольна. Телефон лишь немного больше моего предыдущего старого. Экран яркий, сенсор чувствительный, быстродействие хорошее, батарею держит хорошо. В комлекте шёл чехол. За три недели пользования каких-то существенных недостатков не обнаружено.",1
неудобно держать в руке,0
"Если бы можно было поставить 0 или отрицательную оценку, я бы поставила. По рекомендации консультанта купила этот телефон, так как предыдущий аппарат был от дочерней фирмы и не надо будет привыкать к новому интерфейсу. Прием сигнала интернета - отвратительно. Как итог, видеозвонки и групповые звонки по интернет-приложениям невозможны!!!! Собеседники слышат тебя в лучшем случае через раз! Работать невозможно!",0
"Надоел всевозможной рекламой и якобы ""умностью"", которое уже просто бесит. Найти что то в настройках нереально",0
Очень жалею о покупке. А прошло только 2 месяца!!!!,0
катастрофически мало памяти. Вот вообще не берите,0
"норм смартфон, может чуть чуть сыроват, но в обновлениях наверное поправят",1
"На вид все отлично, но в работе не понравилась батарея, очень быстро разряжается",0
"рекомендую, классный",1
"Отличный смартфон за свою цену. Брала в подарок мужу, он доволен! Памяти вагон и маленькая тележка! Звук очень хорош. Летает!",1
